DonorKey,Donor Name,Country,Region,Age Band,Acquisition Date,Acquisition ChannelKey,Donor Type,Consent Status
3619,Dr Ashleigh Webster,NO,Trøndelag,18-29,2024-03-21,2,Individual,Full
3620,Mr Elliott Lawson,FI,Pohjois-Pohjanmaa,60-74,2022-11-09,6,Individual,Full
3621,Bethan Ingram,FI,Pohjois-Pohjanmaa,45-59,2023-02-06,5,Individual,Full
3622,Conor Field,DK,Syddanmark,30-44,2023-06-22,1,Individual,Post only
3623,Mr Charlie Adams,NO,Rogaland,18-29,2022-09-29,3,Individual,Full
3624,Luke Hawkins-Hayward,FI,Pirkanmaa,30-44,2022-05-27,1,Individual,Post only
3625,Kathleen Smith,SE,Västra Götaland,18-29,2023-04-06,2,Individual,Post only
3626,Gareth Lloyd,SE,Stockholm,75+,2022-02-22,4,Individual,Full
3627,Mandy Hicks,FI,Uusimaa,30-44,2022-08-25,1,Individual,Full
3628,Laura Barlow,FI,Uusimaa,30-44,2023-10-09,2,Individual,Full
3629,Christian Gordon,FI,Varsinais-Suomi,30-44,2023-12-16,1,Individual,Full
3630,Lucy Horton,SE,Uppsala,45-59,2024-11-14,2,Individual,Full
3631,Anne Thompson,FI,Varsinais-Suomi,30-44,2023-04-14,1,Individual,Full
3632,Barry Noble,FI,Uusimaa,30-44,2025-04-08,2,Individual,Full
3633,James Porter,SE,Skåne,60-74,2022-12-09,2,Individual,Full
3634,Mr Brian Hunt,FI,Varsinais-Suomi,45-59,2023-12-17,1,Individual,Email only
3635,Mr Charlie Newman,FI,Uusimaa,60-74,2023-06-14,7,Individual,Full
3636,Jasmine Welch,FI,Pirkanmaa,45-59,2024-12-28,1,Individual,Full
3637,Bradley Richardson,SE,Stockholm,30-44,2023-05-13,2,Corporate,Full
3638,Jordan Moore,NO,Trøndelag,18-29,2023-10-14,3,Individual,Full
3639,Fiona Barrett,SE,Skåne,30-44,2023-12-31,4,Individual,Full
3640,Leslie Hughes,SE,Uppsala,60-74,2025-02-22,1,Corporate,Full
3641,Mr Joe Elliott,FI,Pirkanmaa,60-74,2024-11-11,1,Individual,Full
3642,Christian Moore,FI,Pohjois-Pohjanmaa,30-44,2023-10-06,2,Individual,Email only
3643,Judith Gray,SE,Stockholm,30-44,2025-03-20,2,Individual,Full
3644,Diana Gallagher,DK,Sjælland,18-29,2022-05-04,4,Individual,Full
3645,Jessica Butcher,FI,Pohjois-Pohjanmaa,30-44,2023-04-26,2,Individual,Full
3646,Brandon Bennett,NO,Vestland,45-59,2022-04-13,1,Individual,Full
3647,Frank Khan-Smith,DK,Hovedstaden,60-74,2022-04-02,6,Individual,Full
3648,Mr Keith Johnson,DK,Hovedstaden,18-29,2023-04-24,2,Individual,Full
3649,Dr Kelly Powell,NO,Rogaland,30-44,2024-09-29,2,Individual,Full
3650,Miss Francesca Jackson,SE,Västra Götaland,60-74,2025-05-22,4,Corporate,Full
3651,Brian Metcalfe,FI,Uusimaa,75+,2025-11-07,5,Individual,Full
3652,Mrs Julie Simpson,SE,Uppsala,75+,2022-08-31,4,Individual,Full
3653,Bethan White,FI,Uusimaa,60-74,2022-10-02,2,Individual,Email only
3654,Howard Jones,FI,Pohjois-Pohjanmaa,30-44,2024-12-25,5,Individual,Email only
3655,Benjamin Ingram-Lowe,NO,Rogaland,60-74,2023-03-30,2,Individual,Full
3656,Jeremy Newton-Gray,FI,Pirkanmaa,60-74,2024-09-10,2,Individual,Email only
3657,Ms Ann Mitchell,SE,Västra Götaland,30-44,2025-07-01,2,Individual,Full
3658,Elaine Perry,FI,Uusimaa,45-59,2023-09-22,2,Individual,Full
3659,Dr Marc Sykes,FI,Pirkanmaa,30-44,2025-06-30,1,Individual,Full
3660,Andrew McDonald,FI,Pirkanmaa,30-44,2025-12-28,1,Individual,Full
3661,Ryan Sutton,FI,Pirkanmaa,75+,2025-05-04,1,Individual,Full
3662,Dr Linda Evans,FI,Uusimaa,45-59,2024-10-03,5,Individual,Email only
3663,Reece Roberts,NO,Rogaland,60-74,2024-09-10,1,Individual,Full
3664,Jacob Wallis,DK,Sjælland,45-59,2025-12-09,3,Individual,Full
3665,Derek Allen,SE,Uppsala,75+,2022-11-17,4,Individual,Full
3666,Katherine Brady,SE,Stockholm,18-29,2022-03-27,2,Individual,Email only
3667,Alexandra Woods-Clark,DK,Syddanmark,60-74,2023-12-02,4,Individual,Full
3668,Lindsey Graham,DK,Sjælland,45-59,2025-08-11,1,Individual,Full
3669,Dr Gary Turner,SE,Skåne,30-44,2023-08-06,4,Individual,Email only
3670,Frank Osborne,NO,Oslo,75+,2025-12-14,2,Individual,Full
3671,Mr Roger Wilkins,FI,Varsinais-Suomi,30-44,2025-09-11,1,Individual,Full
3672,Jenna Wade,SE,Västra Götaland,30-44,2022-08-18,1,Individual,Full
3673,Bernard Doyle,NO,Trøndelag,18-29,2024-03-29,1,Individual,Full
3674,Stacey Read,DK,Hovedstaden,60-74,2025-09-01,1,Individual,Post only
3675,Patricia Morris,DK,Sjælland,45-59,2025-10-06,5,Individual,Full
3676,Dr Louise Taylor,SE,Skåne,75+,2023-08-26,4,Individual,Full
3677,Miss Marie Flynn,NO,Vestland,45-59,2023-05-12,6,Individual,Email only
3678,Ronald Berry-McKenzie,,Pirkanmaa,30-44,2023-01-26,1,Corporate,Full
3679,Glenn Sykes,SE,Västra Götaland,60-74,2023-07-21,4,Individual,Full
3680,Mrs Lorraine Coates,FI,Pohjois-Pohjanmaa,60-74,2023-09-25,1,Individual,Email only
3681,Julia Horton-Garner,FI,Varsinais-Suomi,18-29,2025-11-09,4,Individual,Full
3682,Clare Clarke,FI,Pohjois-Pohjanmaa,45-59,2023-09-14,1,Corporate,Full
3683,Lydia Powell,SE,Västra Götaland,60-74,2023-09-21,3,Trust,Full
3684,Antony Turner,FI,Uusimaa,30-44,2025-08-04,2,Individual,Full
3685,Miss Leah Lynch,,Oslo,45-59,2025-04-06,1,Individual,Full
3686,Miss Debra Johnson,SE,Västra Götaland,60-74,2022-12-15,6,Individual,Full
3687,Susan Hawkins,SE,Västra Götaland,30-44,2025-10-04,3,Individual,Full
3688,Joanne Lloyd,SE,Skåne,60-74,2023-05-26,1,Individual,Email only
3689,Mitchell Dobson,DK,Syddanmark,75+,2025-12-27,2,Individual,Full
3690,Mark Todd,FI,Varsinais-Suomi,60-74,2023-06-27,4,Individual,Full
3691,Leon Russell,,Uusimaa,60-74,2022-11-09,2,Individual,Full
3692,Victor Wood,FI,Pohjois-Pohjanmaa,18-29,2024-09-23,1,Individual,Full
3693,Lorraine Barber,NO,Rogaland,75+,2024-12-26,1,Individual,Full
3694,Victoria Richards,NO,Oslo,60-74,2024-12-04,1,Individual,Full
3695,Carl Francis,FI,Pirkanmaa,75+,2024-04-12,4,Individual,Full
3696,Christian Adams-Preston,FI,Uusimaa,18-29,2023-11-07,6,Individual,Email only
3697,Gary Wheeler-Jones,SE,Västra Götaland,60-74,2025-05-17,4,Individual,Full
3698,Jemma King-Bradley,FI,Uusimaa,18-29,2023-06-13,2,Individual,Full
3699,Owen Roberts,DK,Hovedstaden,60-74,2022-09-29,1,Individual,Full
3700,Amy Clarke,SE,Skåne,18-29,2024-12-19,4,Individual,Full
3701,Kelly Wong,FI,Uusimaa,45-59,2024-08-07,5,Individual,Full
3702,Gareth Gibbons-Walters,SE,Uppsala,45-59,2024-06-15,5,Individual,Full
3703,Barry Willis,NO,Vestland,60-74,2022-09-07,2,Individual,Post only
3704,Connor Cole,NO,Rogaland,45-59,2023-07-06,1,Individual,Full
3705,Diane Turnbull,NO,Vestland,60-74,2022-11-15,4,Individual,Full
3706,Christian Holland,FI,Uusimaa,75+,2023-10-31,4,Individual,Email only
3707,Sandra Reid,SE,Uppsala,30-44,2023-05-05,3,Individual,Full
3708,Steven Barber-Davies,DK,Syddanmark,45-59,2023-10-19,4,Individual,Full
3709,Judith Cook,SE,Skåne,30-44,2025-12-01,1,Individual,Full
3710,Damien Jackson-Ryan,FI,Varsinais-Suomi,18-29,2022-01-14,1,Individual,Full
3711,Norman Rose-Thomas,SE,Skåne,60-74,2023-10-12,3,Individual,Full
3712,Paul Thomson-Patel,SE,Stockholm,30-44,2024-05-26,5,Trust,Full
3713,David Walker-Smith,SE,Västra Götaland,18-29,2023-12-24,3,Individual,Post only
3714,Timothy Duncan,SE,Stockholm,30-44,2023-05-27,1,Individual,Email only
3715,Matthew Johnson,FI,Pirkanmaa,60-74,2023-10-15,4,Individual,Full
3716,Tina Hunt,SE,Västra Götaland,75+,2023-09-22,6,Individual,Full
3717,Margaret Parry,FI,Varsinais-Suomi,45-59,2025-10-27,3,Individual,Email only
3718,Dr Bradley Phillips,SE,Skåne,30-44,2025-01-21,1,Individual,Full
3719,Miss Holly Harrison,FI,Uusimaa,30-44,2023-12-24,1,Individual,Full
3720,Samantha Williams,NO,Vestland,45-59,2023-03-10,2,Individual,Full
3721,Dr Emily Booth,FI,Varsinais-Suomi,30-44,2023-01-13,1,Individual,Full
3722,Lewis O'Connor-Payne,NO,Oslo,30-44,2025-12-27,3,Individual,Full
3723,Sophie Todd,FI,Pirkanmaa,30-44,2024-12-04,1,Individual,Full
3724,Jodie Ellis,FI,Varsinais-Suomi,60-74,2025-03-24,1,Individual,Full
3725,Molly Morgan,DK,Hovedstaden,45-59,2023-10-08,6,Individual,Full
3726,Christine Lambert,SE,Skåne,18-29,2025-07-28,6,Individual,Email only
3727,Mr Ian Read,,Varsinais-Suomi,45-59,2022-06-10,1,Individual,Email only
3728,Mrs Helen Wright,NO,Oslo,60-74,2024-05-24,1,Individual,Full
3729,Dr Mohamed Williams,SE,Skåne,60-74,2022-04-16,1,Individual,Email only
3730,Hilary Walsh,FI,Varsinais-Suomi,18-29,2023-10-10,6,Individual,Post only
3731,Pamela Holland,FI,Varsinais-Suomi,30-44,2022-04-13,6,Individual,Full
3732,Mrs Jasmine Taylor,FI,Uusimaa,45-59,2025-08-21,1,Individual,Email only
3733,Denis Smith-Bull,NO,Vestland,60-74,2024-12-20,1,Individual,Post only
3734,Dr Dale Johnson,SE,Stockholm,60-74,2025-01-12,1,Individual,Email only
3735,Miss Andrea Burton,NO,Oslo,60-74,2022-10-14,3,Individual,Full
3736,Gavin Davis,SE,Västra Götaland,30-44,2023-06-13,5,Individual,Full
3737,Heather Morris-Hughes,DK,Sjælland,60-74,2024-10-01,3,Individual,Email only
3738,Claire Smith,FI,Varsinais-Suomi,45-59,2025-05-26,3,Individual,Full
3739,Mr David Johnson,FI,Varsinais-Suomi,60-74,2023-07-08,2,Individual,Full
3740,Kerry Wilson,FI,Pirkanmaa,18-29,2023-10-07,2,Individual,Full
3741,William Watts,FI,Varsinais-Suomi,30-44,2022-01-17,2,Individual,Full
3742,Heather Walker,SE,Uppsala,30-44,2023-12-20,1,Individual,Full
3743,Dr Bryan Francis,FI,Pohjois-Pohjanmaa,45-59,2024-12-06,1,Individual,Full
3744,Amanda King,SE,Skåne,45-59,2022-12-15,1,Individual,Full
3745,Georgia Gibson,FI,Pirkanmaa,45-59,2024-10-10,4,Individual,Full
3746,Jasmine Lewis,FI,Varsinais-Suomi,18-29,2025-12-15,1,Individual,Post only
3747,Mr Luke Kent,SE,Skåne,30-44,2022-03-10,1,Trust,Email only
3748,Jean King-Bell,FI,Pohjois-Pohjanmaa,45-59,2025-05-10,1,Individual,Full
3749,Bruce Jordan,SE,Västra Götaland,60-74,2024-04-18,5,Individual,Post only
3750,John Hughes,SE,Uppsala,60-74,2022-07-25,1,Individual,Full
3751,Wendy Moore,SE,Stockholm,60-74,2022-08-31,6,Trust,Email only
3752,Kim Martin-Davis,FI,Varsinais-Suomi,60-74,2025-10-13,4,Individual,Email only
3753,Dr Mark Kerr,FI,Pirkanmaa,45-59,2025-12-23,2,Individual,Full
3754,Jake Bennett,FI,Varsinais-Suomi,30-44,2024-12-24,4,Individual,Full
3755,Henry McDonald,SE,Västra Götaland,75+,2025-03-20,2,Individual,Full
3756,Ms Diane Graham,FI,Uusimaa,30-44,2025-04-16,1,Individual,Full
3757,Katie Freeman,SE,Skåne,45-59,2024-12-14,1,Individual,Email only
3758,Dr Toby Rees,NO,Vestland,45-59,2024-06-25,1,Corporate,Full
3759,Rebecca Reynolds,,Sjælland,45-59,2023-09-07,1,Individual,Full
3760,Elaine Gill,FI,Pohjois-Pohjanmaa,75+,2025-01-04,6,Individual,Full
3761,Pamela Armstrong-Allen,FI,Varsinais-Suomi,75+,2022-05-14,2,Individual,Full
3762,Mohamed Dickinson-Briggs,SE,Västra Götaland,60-74,2023-07-12,1,Individual,Full
3763,Rosemary Walters,FI,Uusimaa,75+,2022-08-22,6,Individual,Full
3764,Alice Allen,SE,Skåne,75+,2023-08-28,1,Individual,Email only
3765,Grace Nash-Howard,,Uusimaa,60-74,2025-11-01,2,Individual,Full
3766,Daniel Storey,FI,Pohjois-Pohjanmaa,18-29,2025-08-05,2,Individual,Full
3767,Mr Toby Smith,DK,Sjælland,45-59,2024-09-07,2,Individual,Full
3768,Mr Eric Cooke,FI,Pirkanmaa,60-74,2023-12-06,5,Individual,Full
3769,Victor Kirk,NO,Oslo,75+,2025-04-26,6,Individual,Full
3770,Leonard Hughes,SE,Uppsala,60-74,2025-03-26,6,Individual,Email only
3771,Mr Mohammed Dale,DK,Sjælland,75+,2023-12-27,6,Individual,Full
3772,Dale Lewis,SE,Uppsala,60-74,2025-07-08,2,Individual,Full
3773,Carol O'Connor,NO,Trøndelag,60-74,2025-07-21,1,Corporate,Full
3774,Mitchell White,FI,Pirkanmaa,18-29,2022-12-12,3,Corporate,Full
3775,Miss Elaine Hobbs,NO,Trøndelag,45-59,2024-11-13,2,Corporate,Full
3776,Mr Stewart Brown,NO,Vestland,60-74,2022-05-08,3,Corporate,Full
3777,Joanna Webb,NO,Oslo,60-74,2024-09-17,1,Individual,Full
3778,Andrew Walker,FI,Pohjois-Pohjanmaa,45-59,2025-12-03,2,Corporate,Full
3779,Bethany Johnson,NO,Oslo,18-29,2022-12-04,2,Individual,Full
3780,Mr Antony Holden,,Pohjois-Pohjanmaa,60-74,2024-12-06,3,Individual,Full
3781,Olivia Williams,NO,Rogaland,30-44,2023-01-31,1,Individual,Full
3782,Abdul Francis,FI,Pirkanmaa,30-44,2025-07-09,2,Individual,Email only
3783,Danielle John,SE,Uppsala,60-74,2023-10-19,3,Individual,Email only
3784,Natasha Humphreys,NO,Oslo,45-59,2023-05-17,2,Individual,Full
3785,Douglas Williams,SE,Västra Götaland,60-74,2024-09-04,6,Individual,Email only
3786,Tracey Lawrence-Taylor,NO,Vestland,18-29,2022-12-29,1,Individual,Full
3787,Tina Harris,NO,Oslo,30-44,2023-12-24,4,Corporate,Full
3788,Thomas Connor,FI,Pohjois-Pohjanmaa,30-44,2022-12-16,1,Individual,Post only
3789,Nicola Hussain,SE,Uppsala,60-74,2022-11-26,4,Individual,Full
3790,Jack Sutton,SE,Uppsala,60-74,2025-03-21,1,Individual,Email only
3791,Dr Caroline Gray,SE,Stockholm,45-59,2022-11-10,1,Individual,Full
3792,Natasha Cooper-Parker,SE,Västra Götaland,75+,2025-12-23,1,Individual,Full
3793,Joanna Butler,FI,Varsinais-Suomi,45-59,2025-03-26,4,Individual,Full
3794,Mr Abdul Hopkins,DK,Sjælland,18-29,2024-07-04,2,Individual,Email only
3795,Ruth Bevan-Bradley,SE,Västra Götaland,60-74,2022-12-28,2,Individual,Full
3796,Shaun Hughes,FI,Pirkanmaa,30-44,2024-11-23,2,Individual,Post only
3797,Sian Edwards,SE,Stockholm,75+,2022-06-18,1,Individual,Full
3798,Damien Baldwin-Law,DK,Sjælland,60-74,2024-12-05,5,Individual,Email only
3799,Miss Rebecca Nelson,FI,Pohjois-Pohjanmaa,45-59,2023-04-10,1,Individual,Email only
3800,Dr Benjamin Hanson,FI,Varsinais-Suomi,18-29,2022-01-26,5,Individual,Full
3801,Fiona Rhodes-Smith,FI,Uusimaa,75+,2025-07-11,1,Corporate,Full
3802,Mr Thomas Lees,FI,Pohjois-Pohjanmaa,18-29,2025-07-09,1,Individual,Email only
3803,Duncan Atkins,FI,Varsinais-Suomi,60-74,2024-03-28,5,Individual,Full
3804,Norman Dawson,NO,Oslo,18-29,2025-12-29,4,Individual,Full
3805,Olivia Morgan-Edwards,FI,Uusimaa,45-59,2024-01-30,3,Individual,Email only
3806,Rachael Bray-Wall,NO,Vestland,75+,2023-09-12,2,Individual,Email only
3807,Mr Brian Stevens,SE,Västra Götaland,30-44,2025-01-15,1,Individual,Full
3808,Nathan Cole,FI,Uusimaa,45-59,2023-01-23,1,Individual,Full
3809,Frances Owen,FI,Uusimaa,75+,2024-10-20,2,Individual,Full
3810,James Begum,SE,Skåne,45-59,2022-12-22,4,Individual,Post only
3811,Anna Bond,FI,Pirkanmaa,60-74,2023-09-24,2,Individual,Full
3812,Ms Sandra Bolton,SE,Västra Götaland,45-59,2025-12-16,4,Individual,Full
3813,Marilyn Wilkins,FI,Varsinais-Suomi,18-29,2025-04-28,3,Individual,Full
3814,Christine Thomas-Kemp,DK,Sjælland,30-44,2025-12-09,4,Individual,Full
3815,Garry Alexander,FI,Pirkanmaa,45-59,2024-10-21,2,Individual,Full
3816,Charlene Hill-Knight,FI,Uusimaa,30-44,2024-05-30,2,Individual,Full
3817,Dr Diana Fletcher,FI,Pirkanmaa,60-74,2025-10-19,1,Individual,Email only
3818,Dr Bruce White,NO,Vestland,45-59,2024-12-22,2,Individual,Full
3819,Katy Butcher-King,,Oslo,45-59,2023-12-03,1,Individual,Full
3820,Dr Bradley Marsh,,Sjælland,45-59,2023-09-19,5,Individual,Email only
3821,Dr Gareth Smith,SE,Stockholm,18-29,2022-06-06,5,Individual,Full
3822,Ross Wilson,DK,Syddanmark,45-59,2024-11-19,1,Individual,Email only
3823,Jacqueline Sullivan,FI,Pohjois-Pohjanmaa,75+,2023-10-16,2,Individual,Email only
3824,Mr Nathan Smith,SE,Västra Götaland,18-29,2024-08-09,2,Individual,Full
3825,Claire Hawkins,NO,Vestland,30-44,2022-10-27,1,Individual,Full
3826,Dr Jay Williams,,Stockholm,45-59,2025-11-19,4,Individual,Full
3827,Robert Ball-Bailey,SE,Västra Götaland,45-59,2024-11-27,5,Individual,Full
3828,Dr Kimberley Hunt,NO,Trøndelag,45-59,2023-12-08,1,Individual,Email only
3829,Dylan Reynolds,FI,Varsinais-Suomi,18-29,2023-12-06,1,Individual,Full
3830,Brenda Savage,FI,Varsinais-Suomi,60-74,2024-12-27,1,Individual,Full
3831,Ms Nicole Richards,NO,Vestland,45-59,2022-10-04,4,Trust,Full
3832,Albert Wells,SE,Skåne,45-59,2022-04-02,1,Individual,Email only
3833,Dr Lewis Oliver,FI,Uusimaa,60-74,2023-12-25,2,Individual,Full
3834,Lydia Forster,SE,Skåne,45-59,2022-06-12,1,Individual,Full
3835,Jordan Collins,SE,Uppsala,60-74,2022-02-17,6,Individual,Email only
3836,Mrs Sara Woods,SE,Uppsala,45-59,2022-10-22,1,Individual,Full
3837,Dr Emily Holland,FI,Pohjois-Pohjanmaa,30-44,2022-06-03,1,Individual,Full
3838,Mandy Davies,NO,Vestland,60-74,2024-08-23,2,Individual,Full
3839,Gary Cunningham,SE,Skåne,45-59,2023-01-19,1,Individual,Full
3840,Janice Cole,FI,Pirkanmaa,18-29,2025-09-07,3,Individual,Full
3841,Ruth Wood,NO,Oslo,60-74,2024-05-28,3,Individual,Email only
3842,Mary Spencer,SE,Stockholm,45-59,2025-12-06,2,Individual,Email only
3843,Judith Jones,FI,Varsinais-Suomi,18-29,2024-05-13,2,Individual,Full
3844,Mrs Tracy O'Brien,FI,Pirkanmaa,18-29,2022-12-05,4,Individual,Email only
3845,Nicola Butler,FI,Uusimaa,45-59,2025-12-12,1,Individual,Email only
3846,Caroline Harrison,SE,Stockholm,60-74,2023-12-23,4,Individual,Email only
3847,Gordon Dale,NO,Vestland,60-74,2022-10-22,2,Individual,Full
3848,Dr Reece Butler,FI,Varsinais-Suomi,60-74,2025-05-17,1,Individual,Full
3849,Frances Taylor,SE,Västra Götaland,45-59,2025-08-03,1,Corporate,Full
3850,Ms Fiona Stokes,SE,Stockholm,30-44,2025-02-08,3,Individual,Full
3851,Ryan Lawson,NO,Trøndelag,75+,2024-12-04,1,Individual,Full
3852,Alison Wilson,SE,Skåne,18-29,2022-12-23,3,Individual,Full
3853,Sandra Clarke-Allan,SE,Västra Götaland,60-74,2022-12-01,2,Individual,Email only
3854,Paul Barlow,SE,Skåne,45-59,2023-04-13,4,Individual,Full
3855,Danny Hammond,SE,Västra Götaland,60-74,2023-10-02,1,Individual,Full
3856,Miss Katie Hardy,FI,Uusimaa,30-44,2022-08-31,1,Individual,Full
3857,Kim Green,,Skåne,18-29,2024-06-04,5,Individual,Post only
3858,Dr Rita Davies,FI,Varsinais-Suomi,30-44,2024-04-10,4,Individual,Email only
3859,Kathleen Carter,FI,Pohjois-Pohjanmaa,18-29,2024-07-14,2,Individual,Full
3860,Mr Oliver Smith,SE,Stockholm,60-74,2023-04-07,2,Individual,Full
3861,Heather Kelly,SE,Västra Götaland,60-74,2022-04-23,2,Individual,Full
3862,Dr Jacob Brown,FI,Varsinais-Suomi,45-59,2023-06-21,2,Corporate,Full
3863,Dr Vincent Woods,FI,Varsinais-Suomi,45-59,2022-05-24,1,Individual,Full
3864,Timothy Brown-Hughes,SE,Skåne,45-59,2022-08-12,4,Individual,Full
3865,Brian Wells,SE,Uppsala,18-29,2023-12-17,4,Individual,Post only
3866,Debra Horton-Poole,FI,Pirkanmaa,18-29,2025-04-20,1,Individual,Full
3867,Melissa O'Connor,,Uusimaa,45-59,2025-05-07,2,Individual,Full
3868,Callum Johnson,DK,Syddanmark,45-59,2025-10-12,3,Individual,Full
3869,Ashley Fletcher-Andrews,NO,Trøndelag,45-59,2023-10-07,1,Corporate,Post only
3870,Debra Carter,FI,Pohjois-Pohjanmaa,60-74,2023-03-04,2,Individual,Full
3871,Mr Glen Pearce,SE,Uppsala,18-29,2022-12-20,1,Individual,Full
3872,Mr Samuel Arnold,NO,Trøndelag,45-59,2023-03-18,7,Individual,Full
3873,Mohamed Rowley-Howarth,SE,Stockholm,60-74,2025-12-23,3,Individual,Full
3874,Jean Armstrong,FI,Pirkanmaa,75+,2024-11-01,1,Individual,Full
3875,Lynne Townsend,SE,Skåne,30-44,2022-11-01,2,Individual,Email only
3876,Jasmine Giles-Brown,SE,Skåne,60-74,2023-06-14,3,Individual,Full
3877,Jay Freeman,DK,Syddanmark,30-44,2024-07-02,1,Individual,Post only
3878,Charlotte Shah,SE,Västra Götaland,75+,2022-09-15,3,Individual,Post only
3879,Linda Smith-Day,DK,Syddanmark,45-59,2022-11-11,1,Individual,Email only
3880,Daniel Price-Short,FI,Pohjois-Pohjanmaa,30-44,2023-12-01,4,Individual,Full
3881,Ricky King,FI,Pirkanmaa,60-74,2024-03-18,2,Individual,Full
3882,Kayleigh Cook,FI,Varsinais-Suomi,30-44,2024-09-24,1,Individual,Post only
3883,Carole Joyce,SE,Stockholm,45-59,2022-07-17,1,Individual,Full
3884,Damian Garner-Singh,SE,Uppsala,75+,2025-05-03,5,Individual,Full
3885,Marion Mason,SE,Skåne,60-74,2022-12-08,2,Individual,Email only
3886,Mrs Melanie James,FI,Uusimaa,45-59,2025-04-20,2,Individual,Email only
3887,Miss Eleanor Allan,NO,Rogaland,30-44,2022-02-09,2,Individual,Full
3888,Mandy Alexander,SE,Uppsala,75+,2024-01-13,1,Individual,Full
3889,Kathryn Collins,FI,Varsinais-Suomi,75+,2023-04-20,1,Individual,Full
3890,Jacqueline Morgan,SE,Skåne,45-59,2022-09-14,6,Individual,Email only
3891,Aaron Jackson-Jones,DK,Hovedstaden,45-59,2024-11-10,1,Individual,Full
3892,Mr Garry Carter,FI,Varsinais-Suomi,45-59,2022-11-02,5,Individual,Full
3893,Dr Dale Walker,SE,Skåne,30-44,2023-12-20,3,Individual,Email only
3894,Mr Donald Green,FI,Pohjois-Pohjanmaa,45-59,2022-05-21,1,Individual,Full
3895,Gail Dunn,FI,Varsinais-Suomi,18-29,2025-05-17,1,Individual,Full
3896,Paula Murray-Hart,FI,Uusimaa,60-74,2023-12-19,2,Individual,Full
3897,Megan Martin-Hancock,FI,Uusimaa,45-59,2022-06-27,4,Individual,Post only
3898,Debra Sharpe,FI,Pirkanmaa,18-29,2025-09-24,1,Individual,Full
3899,Charlene Kaur,SE,Västra Götaland,45-59,2023-11-24,1,Corporate,Full
3900,Phillip Giles,FI,Uusimaa,18-29,2025-11-11,5,Individual,Full
3901,Kim Williams,SE,Västra Götaland,60-74,2022-11-01,1,Individual,Full
3902,Dr Kenneth Smith,FI,Pohjois-Pohjanmaa,18-29,2022-09-26,2,Individual,Full
3903,Caroline Willis-Jackson,FI,Pohjois-Pohjanmaa,60-74,2023-12-23,1,Individual,Post only
3904,Nicola Stevenson,FI,Pohjois-Pohjanmaa,45-59,2022-10-15,1,Individual,Full
3905,Leah Matthews,DK,Midtjylland,60-74,2025-06-26,1,Individual,Full
3906,Michelle Knight,,Stockholm,45-59,2025-08-07,1,Individual,Post only
3907,Mr Luke Andrews,SE,Stockholm,30-44,2023-04-24,4,Individual,Full
3908,Gerard Smith-Francis,SE,Skåne,60-74,2022-08-02,1,Individual,Email only
3909,Liam Mellor,NO,Rogaland,18-29,2024-04-06,3,Individual,Full
3910,Clifford Lewis,FI,Uusimaa,60-74,2023-10-01,4,Individual,Email only
3911,Lindsey Garner,SE,Stockholm,30-44,2022-06-04,1,Individual,Full
3912,Charlotte Roberts-Thornton,SE,Stockholm,75+,2025-11-13,5,Individual,Email only
3913,Sheila Rogers,FI,Pirkanmaa,75+,2022-11-22,2,Individual,Full
3914,Dr Stewart Mistry,FI,Varsinais-Suomi,60-74,2024-04-25,1,Individual,Full
3915,Hilary Roberts,NO,Vestland,45-59,2023-01-29,6,Individual,Email only
3916,Dr Joshua Hurst,FI,Uusimaa,18-29,2022-09-06,1,Individual,Email only
3917,Terence Rogers,SE,Stockholm,18-29,2022-05-24,3,Individual,Full
3918,Gail Carter,FI,Pohjois-Pohjanmaa,45-59,2024-12-04,1,Individual,Email only
3919,Yvonne Wilson,SE,Skåne,30-44,2024-12-24,2,Individual,Email only
3920,Dr Scott Hanson,FI,Pohjois-Pohjanmaa,30-44,2025-02-02,2,Individual,Full
3921,Dr Louis Price,NO,Vestland,60-74,2023-07-09,3,Individual,Full
3922,Gerald Black,NO,Trøndelag,60-74,2024-12-18,3,Individual,Full
3923,Trevor Hall,DK,Midtjylland,45-59,2024-12-15,1,Individual,Post only
3924,Dr Kathleen Edwards,DK,Midtjylland,75+,2023-12-31,4,Individual,Full
3925,Jason Ferguson,DK,Midtjylland,60-74,2022-08-04,2,Individual,Full
3926,Mr Gareth Marshall,DK,Midtjylland,75+,2025-12-08,1,Individual,Post only
3927,Carolyn Phillips,SE,Uppsala,45-59,2023-11-27,2,Individual,Full
3928,Miss Jayne Reed,FI,Varsinais-Suomi,18-29,2025-12-19,1,Individual,Full
3929,Rachael Quinn,NO,Rogaland,18-29,2024-09-11,1,Individual,Full
3930,David Barnes,SE,Västra Götaland,60-74,2025-03-11,2,Individual,Full
3931,Adrian Harris,SE,Stockholm,45-59,2022-05-02,1,Individual,Full
3932,Dr Nathan Little,FI,Varsinais-Suomi,30-44,2024-09-15,4,Individual,Full
3933,Keith Bowen,FI,Pohjois-Pohjanmaa,60-74,2023-05-22,4,Individual,Full
3934,Margaret Patel,SE,Stockholm,30-44,2023-12-19,2,Individual,Full
3935,Benjamin Khan,FI,Pohjois-Pohjanmaa,60-74,2023-06-26,1,Individual,Post only
3936,Ms Hollie Flynn,FI,Varsinais-Suomi,60-74,2023-12-22,4,Individual,Email only
